,Location,Confirmed cases,Cases per 1M people,Recovered,Deaths
0,Worldwide,710290,100.80,150734,33550
1,United States,135502,414.27,4378,2384
2,Italy,97689,1546.56,13030,10779
3,China,81439,59.30,75448,3300
4,Spain,78799,1590.28,14709,6606
5,Germany,61164,744.66,5024,489
6,Iran,38309,472.99,12391,2640
7,France,37611,556.65,5700,2314
8,United Kingdom,19522,300.83,140,1228
9,Switzerland,14799,2181.13,1823,300
10,Netherlands,10923,670.78,—,772
11,Belgium,10836,1051.30,1359,431
12,South Korea,9583,187.76,5033,152
13,Turkey,9217,110.11,105,131
14,Austria,8711,1111.67,479,86
15,Canada,6228,180.25,482,63
16,Portugal,5962,558.41,43,119
17,Norway,4244,796.41,—,25
18,Australia,3980,173.88,226,16
19,Brazil,3904,18.94,6,117
20,Israel,3865,338.94,89,13
21,Sweden,3719,369.98,18,121
22,Czechia,2775,260.57,11,16
23,Denmark,2564,462.07,—,72
24,Malaysia,2470,74.33,388,34
25,Ireland,2415,462.36,5,36
26,Chile,2139,122.37,75,7
27,Luxembourg,1950,2435.72,40,21
28,Poland,1862,50.08,23,22
29,Ecuador,1835,110.84,3,48
30,Romania,1815,84.56,206,43
31,Japan,1693,13.35,404,52
32,Pakistan,1560,7.76,28,14
33,Russia,1534,10.72,64,8
34,Philippines,1418,13.60,42,71
35,Thailand,1388,20.72,111,7
36,Saudi Arabia,1299,45.94,37,8
37,Indonesia,1285,4.93,64,114
38,Finland,1218,224.45,10,9
39,South Africa,1187,21.40,31,1
40,Greece,1061,98.44,52,39
41,India,1024,0.81,96,27
42,Iceland,1020,3017.85,124,2
43,Panama,901,244.49,4,17
44,Mexico,848,6.73,4,16
45,Singapore,844,180.42,212,3
46,Argentina,745,16.40,51,19
47,Serbia,741,91.88,42,13
48,Slovenia,730,416.33,10,11
49,Dominican Republic,719,67.85,3,28
50,Croatia,713,152.15,52,6
51,Estonia,679,530.72,20,3
52,Peru,671,21.40,16,16
53,Hong Kong,641,62.35,118,4
54,Egypt,609,6.08,132,40
55,Colombia,608,12.86,10,6
56,Qatar,590,255.35,45,1
57,United Arab Emirates,570,108.59,58,3
58,Iraq,547,13.39,143,42
59,Algeria,511,12.34,31,29
60,Bahrain,499,356.68,272,4
61,New Zealand,476,106.20,56,1
62,Morocco,463,13.78,13,26
63,Lebanon,438,70.54,32,10
64,Lithuania,437,146.49,1,7
65,Armenia,424,168.66,30,3
66,Ukraine,418,9.75,5,9
67,Hungary,408,40.77,34,13
68,Latvia,347,184.87,1,0
69,Bulgaria,346,51.87,14,8
70,Andorra,334,4384.53,6,6
